,#RIC,Date[G],Time[G],GMT Offset,Type,Ex/Cntrb.ID,Price,Volume,Bid Price,Bid Size,Ask Price,Ask Size,Qualifiers
314,ADSGn.DE,20151001,07:00:29.869,2,Quote,,,,,,72.69,906,TRADE [GV1_TEXT];   [PRC_QL2]
315,ADSGn.DE,20151001,07:00:29.879,2,Quote,,,,,,72.69,943,TRADE [GV1_TEXT];   [PRC_QL2]
316,ADSGn.DE,20151001,07:00:29.938,2,Quote,,,,,,72.69,996,TRADE [GV1_TEXT];   [PRC_QL2]
317,ADSGn.DE,20151001,07:00:29.989,2,Quote,,,,,,72.69,1087,TRADE [GV1_TEXT];   [PRC_QL2]
318,ADSGn.DE,20151001,07:00:30.049,2,Quote,,,,,,72.69,1117,TRADE [GV1_TEXT];   [PRC_QL2]
319,ADSGn.DE,20151001,07:00:30.089,2,Quote,,,,,,72.69,1179,TRADE [GV1_TEXT];   [PRC_QL2]
320,ADSGn.DE,20151001,07:00:30.139,2,Quote,,,,,,72.69,1272,TRADE [GV1_TEXT];   [PRC_QL2]
321,ADSGn.DE,20151001,07:00:30.219,2,Quote,,,,,,72.69,1352,TRADE [GV1_TEXT];   [PRC_QL2]
322,ADSGn.DE,20151001,07:00:30.319,2,Quote,,,,72.48,607,,,TRADE [GV1_TEXT];   [PRC_QL2]
323,ADSGn.DE,20151001,07:00:30.358,2,Quote,,,,,,72.69,1448,TRADE [GV1_TEXT];   [PRC_QL2]
324,ADSGn.DE,20151001,07:00:30.389,2,Quote,,,,72.48,636,,,TRADE [GV1_TEXT];   [PRC_QL2]
325,ADSGn.DE,20151001,07:00:30.409,2,Quote,,,,,,72.69,1490,TRADE [GV1_TEXT];   [PRC_QL2]
326,ADSGn.DE,20151001,07:00:30.589,2,Quote,,,,72.48,540,,,TRADE [GV1_TEXT];   [PRC_QL2]
